inv_id,inv_name,status,p_id
0,Gravity-defying Washer A,Using,1.0
0,Gravity-defying Washer B,Using,1.0
0,Gravity-defying Washer C,Using,1.0
0,Gravity-defying Washer D,Using,1.0
0,Gravity-defying Washer E,Using,1.0
0,Soaring Washer A,Using,2.0
0,Soaring Washer B,Using,2.0
0,Soaring Washer C,Using,2.0
0,Soaring Washer D,Using,2.0
0,Soaring Washer E,Using,2.0
0,Wanderlust Washer A,Using,3.0
0,Wanderlust Washer B,Using,3.0
0,Wanderlust Washer C,Using,3.0
0,Wanderlust Washer D,Using,3.0
0,Superb Washer A,Using,4.0
0,Superb Washer B,Using,4.0
0,Mighty Washer A,Using,5.0
0,Mighty Washer B,Using,5.0
0,Mighty Washer C,Using,5.0
0,Flexible Washer A,Using,6.0
0,Floating Nut A,Using,7.0
0,Floating Nut B,Using,7.0
0,Floating Nut C,Using,7.0
0,Floating Nut D,Using,7.0
0,Wanderlust Nut A,Using,8.0
0,Wanderlust Nut B,Using,8.0
0,Hovercraft Nut A,Using,9.0
0,Hovercraft Nut B,Using,9.0
0,Hovercraft Nut C,Using,9.0
0,On-the-go Nut A,Using,10.0
0,On-the-go Nut B,Using,10.0
0,Vibrational Nut A,Using,11.0
0,Vibrational Nut B,Using,11.0
0,Vibrational Nut C,Using,11.0
0,Vibrational Nut D,Using,11.0
0,Vibrational Nut E,Using,11.0
0,Daring Nut A,Using,12.0
0,Daring Nut B,Using,12.0
0,Daring Nut C,Using,12.0
0,Daring Nut D,Using,12.0
0,Daring Nut E,Using,12.0
0,Forward Nut A,Using,13.0
0,Forward Nut B,Using,13.0
0,Forward Nut C,Using,13.0
0,Forward Nut D,Using,13.0
0,Endless Nut A,Using,14.0
0,Vibrational Bolt A,Using,15.0
0,Dynamic Bolt A,Using,16.0
0,Dynamic Bolt B,Using,16.0
0,Glorious Bolt A,Using,17.0
0,Glorious Bolt B,Using,17.0
0,Placid Bolt A,Using,18.0
0,Placid Bolt B,Using,18.0
0,Placid Bolt C,Using,18.0
0,Placid Bolt D,Using,18.0
0,Placid Bolt E,Using,18.0
0,Aerial Bolt A,Using,19.0
0,Perpetual Bolt A,Using,20.0
0,Perpetual Bolt B,Using,20.0
0,Perpetual Bolt C,Using,20.0
0,Perpetual Bolt D,Using,20.0
0,Perpetual Bolt E,Using,20.0
0,Optimized Bolt A,Using,21.0
0,High Bolt A,Using,22.0
0,High Bolt B,Using,22.0
0,High Bolt C,Using,22.0
0,High Bolt D,Using,22.0
0,High Bolt E,Using,22.0
0,Descending Rivet A,Using,23.0
0,Descending Rivet B,Using,23.0
0,Descending Rivet C,Using,23.0
0,Descending Rivet D,Using,23.0
0,Steady Screw A,Using,24.0
0,Steady Screw B,Using,24.0
0,Steady Screw C,Using,24.0
0,Steady Screw D,Using,24.0
0,Steady Screw E,Using,24.0
0,Wavy Screw A,Using,25.0
0,Maximum Screw A,Using,26.0
0,Maximum Screw B,Using,26.0
0,Maximum Screw C,Using,26.0
0,Maximum Screw D,Using,26.0
0,Maximum Screw E,Using,26.0
0,Floating Clamp A,Using,27.0
0,Cruising Pin A,Using,28.0
0,Gravitational Pin A,Using,29.0
0,Gravitational Pin B,Using,29.0
0,Gravitational Pin C,Using,29.0
0,Gravitational Pin D,Using,29.0
0,Gravitational Pin E,Using,29.0
0,Steady Pin A,Using,30.0
0,Steady Pin B,Using,30.0
0,Steady Pin C,Using,30.0
0,Steady Pin D,Using,30.0
0,Choppy Pin A,Using,31.0
0,Choppy Pin B,Using,31.0
0,Choppy Pin C,Using,31.0
0,Choppy Pin D,Using,31.0
0,Vast Pin A,Using,32.0
0,Vast Pin B,Using,32.0
0,Vast Pin C,Using,32.0
0,Zippy Spacer A,Using,33.0
0,Zippy Spacer B,Using,33.0
0,Zippy Spacer C,Using,33.0
0,Steady Spacer A,Using,34.0
0,Steady Spacer B,Using,34.0
0,Steady Spacer C,Using,34.0
0,Steady Spacer D,Using,34.0
0,Overpowered Spacer A,Using,35.0
0,Overpowered Spacer B,Using,35.0
0,Overpowered Spacer C,Using,35.0
0,Overpowered Spacer D,Using,35.0
0,Overpowered Spacer E,Using,35.0
0,Rapid-fire Spacer A,Using,36.0
0,Rapid-fire Spacer B,Using,36.0
0,Rapid-fire Spacer C,Using,36.0
0,Sonic-speed Spacer A,Using,37.0
0,Sonic-speed Spacer B,Using,37.0
0,Iridescent Spacer A,Using,38.0
0,Iridescent Spacer B,Using,38.0
0,Iridescent Spacer C,Using,38.0
0,Iridescent Spacer D,Using,38.0
0,Iridescent Spacer E,Using,38.0
0,Convectional Spacer A,Using,39.0
0,Convectional Spacer B,Using,39.0
0,Convectional Spacer C,Using,39.0
0,Effortless Spacer A,Using,40.0
0,Effortless Spacer B,Using,40.0
0,Effortless Spacer C,Using,40.0
0,Effortless Spacer D,Using,40.0
0,Immense Spacer A,Using,41.0
0,Immense Spacer B,Using,41.0
0,Immense Spacer C,Using,41.0
0,Pressurized Spacer A,Using,42.0
